,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1.350.000 TL,İstanbul,Beylikdüzü,Cuhuriyet,Satılık,Daire,3 + 1,150 m2,140 m2,Ara Kat,1 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
1,22.000.000 TL,İstanbul,Beşiktaş,Etiler,Satılık,Daire,5 + 1,284 m2,256 m2,4. Kat,14 Yaşında,Eşyalı Değil,3,Betonarme,Badur Boğaziçi Evleri Sitesi,Doğalgaz
2,3.950.000 TL,İstanbul,Maltepe,Feyzullah,Satılık,Daire,3 + 1,165 m2,145 m2,1. Kat,28 Yaşında,Eşyalı Değil,1,Betonarme,Adatepe Sitesi,Doğalgaz
3,50.400.000 TL,İstanbul,Beşiktaş,Levazı,Satılık,Residence,4 + 1,420 m2,350 m2,Bahçe Katı,2 Yaşında,Eşyalı Değil,4,Betonarme,yooistanbul,Doğalgaz
4,4.300.000 TL,İstanbul,Büyükçekece,Ekinoba,Satılık,Daire,3 + 1,160 m2,116 m2,1. Kat,2 Yaşında,Eşyalı,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
5,950.000 TL,İstanbul,Güngören,Gençosan,Satılık,Daire,2 + 1,100 m2,90 m2,Ara Kat,30 Yaşında,Eşyalı Değil,1,Betonarme,Simtel Blokları Sitesi,Doğalgaz
6,70.000.000 TL,İstanbul,Beşiktaş,Levazı,Satılık,Residence,5 + 1,550 m2,400 m2,17. Kat,4 Yaşında,Eşyalı Değil,4,Betonarme,Zorlu Center İstanbul,Doğalgaz
7,18.200.000 TL,İstanbul,Beşiktaş,Levazı,Satılık,Residence,2 + 1,168 m2,145 m2,3. Kat,2 Yaşında,Eşyalı Değil,2,Betonarme,Yoo İstanbul Sitesi,Doğalgaz
8,50.000.000 TL,İstanbul,Beşiktaş,Levazı,Satılık,Residence,5 + 1,240 m2,220 m2,Ara Kat,3 Yaşında,Eşyalı Değil,3,Betonarme,Yoo İstanbul Sitesi,Doğalgaz
9,50.400.000 TL,İstanbul,Beşiktaş,Levazı,Satılık,Residence,5 + 2,456 m2,400 m2,En Üst Kat,5 Yaşında,Eşyalı Değil,5,Betonarme,YOO İstanbul,Doğalgaz
